open,high,low,close,time
1.08985,1.08999,1.08977,1.08996,1547079300.0
1.08997,1.09,1.08989,1.08991,1547080200.0
1.08992,1.09008,1.08985,1.08986,1547081100.0
1.08987,1.08994,1.08948,1.08963,1547082000.0
1.08963,1.08964,1.08943,1.08946,1547082900.0
1.08946,1.08947,1.08887,1.08931,1547083800.0
1.0893,1.08947,1.08924,1.08941,1547084700.0
1.08942,1.08942,1.08893,1.089,1547085600.0
1.08899,1.08912,1.08888,1.08906,1547086500.0
1.08907,1.0891,1.08877,1.08891,1547087400.0
1.08891,1.08898,1.08879,1.0888,1547088300.0
1.0888,1.08883,1.08856,1.08867,1547089200.0
1.08869,1.08899,1.08863,1.08878,1547090100.0
1.08878,1.0888,1.08868,1.08872,1547091000.0
1.08872,1.089,1.08867,1.08881,1547091900.0
1.08882,1.08897,1.08865,1.08865,1547092800.0
1.08865,1.08902,1.08865,1.08896,1547093700.0
1.08896,1.0894,1.08896,1.08921,1547094600.0
1.08921,1.08929,1.08899,1.08918,1547095500.0
1.0892,1.08922,1.08893,1.08906,1547096400.0
1.08905,1.0893,1.08895,1.08929,1547097300.0
1.0893,1.08932,1.08897,1.08897,1547098200.0
1.08897,1.08918,1.08879,1.08892,1547099100.0
1.08892,1.08897,1.08872,1.08891,1547100000.0
1.08891,1.08906,1.0882,1.08821,1547100900.0
1.0882,1.08847,1.08807,1.08846,1547101800.0
1.08847,1.08863,1.08828,1.08858,1547102700.0
1.08858,1.08883,1.0879,1.0885,1547103600.0
1.08851,1.0894,1.08841,1.08896,1547104500.0
1.08895,1.08914,1.08861,1.08877,1547105400.0
1.08878,1.08915,1.0884,1.08852,1547106300.0
1.08852,1.08899,1.0884,1.08899,1547107200.0
1.08899,1.08925,1.08851,1.08855,1547108100.0
1.08855,1.08927,1.08855,1.08918,1547109000.0
1.08917,1.08941,1.08888,1.08915,1547109900.0
1.08915,1.08954,1.08889,1.08931,1547110800.0
1.08931,1.09004,1.0893,1.08974,1547111700.0
1.08974,1.08997,1.08951,1.08973,1547112600.0
1.08973,1.09017,1.08966,1.08973,1547113500.0
1.08973,1.08974,1.0893,1.08932,1547114400.0
1.08931,1.08999,1.08917,1.0899,1547115300.0
1.08992,1.09044,1.08976,1.09022,1547116200.0
1.09022,1.09056,1.09,1.09029,1547117100.0
1.09027,1.09038,1.08993,1.09024,1547118000.0
1.09023,1.09077,1.09015,1.09058,1547118900.0
1.09058,1.09078,1.09048,1.0907,1547119800.0
1.0907,1.09074,1.09,1.09011,1547120700.0
1.09011,1.09029,1.08956,1.08985,1547121600.0
1.08985,1.08992,1.08921,1.08982,1547122500.0
1.08981,1.09,1.08932,1.08934,1547123400.0
1.08934,1.0899,1.08892,1.08979,1547124300.0
1.08979,1.08989,1.08941,1.08952,1547125200.0
1.08954,1.09014,1.08941,1.09004,1547126100.0
1.09003,1.09012,1.08923,1.08939,1547127000.0
1.08938,1.08976,1.08881,1.08883,1547127900.0
1.08883,1.09098,1.08845,1.09097,1547128800.0
1.09096,1.09213,1.09088,1.09118,1547129700.0
1.09117,1.09147,1.0903,1.09142,1547130600.0
1.09142,1.09199,1.09121,1.09148,1547131500.0
1.09148,1.09194,1.09128,1.09192,1547132400.0
1.09193,1.09277,1.09189,1.09259,1547133300.0
1.09259,1.09318,1.09259,1.09291,1547134200.0
1.09292,1.09345,1.09291,1.09333,1547135100.0
1.09332,1.09345,1.09305,1.09307,1547136000.0
1.09307,1.09331,1.09275,1.0933,1547136900.0
1.09331,1.09428,1.09324,1.09355,1547137800.0
1.09355,1.09373,1.0932,1.09355,1547138700.0
1.09354,1.09393,1.09353,1.09375,1547139600.0
1.09374,1.09401,1.09345,1.09349,1547140500.0
1.0935,1.09355,1.09266,1.09276,1547141400.0
1.09275,1.093,1.09251,1.09282,1547142300.0
1.09281,1.09323,1.09281,1.09318,1547143200.0
1.09319,1.09346,1.09301,1.09331,1547144100.0
1.0933,1.0936,1.0933,1.09355,1547145000.0
1.09354,1.09364,1.09329,1.09336,1547145900.0
1.09335,1.09369,1.0933,1.09353,1547146800.0
1.09352,1.09367,1.0933,1.09357,1547147700.0
1.09355,1.09378,1.09342,1.09374,1547148600.0
1.09373,1.09383,1.09352,1.09357,1547149500.0
1.09356,1.09385,1.09352,1.09353,1547150400.0
1.09353,1.0936,1.0935,1.0935,1547151300.0
1.0935,1.09368,1.09347,1.09356,1547152200.0
1.09355,1.09373,1.09354,1.09365,1547153100.0
1.09365,1.09365,1.09309,1.0932,1547154000.0
1.09321,1.09328,1.09309,1.09309,1547154900.0
1.09309,1.09351,1.09293,1.09304,1547155800.0
1.09315,1.09324,1.0929,1.09292,1547156700.0
1.09284,1.09311,1.09277,1.09298,1547157600.0
1.09295,1.09325,1.09295,1.09312,1547158500.0
1.09312,1.09321,1.09296,1.09316,1547159400.0
